"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","道具生效时间","道具过期时间","使用后持续时间（s）","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","加锁时能否消耗","需求锻造等级","需求裁缝等级","需求炼金等级","临时类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","是否稀有","摆摊冻结时间"
"350209","422","打造图纸?男头","fffff2df","1","1040","张","20","1","5500","true","0","0","0","0","0","1098","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350210","422","打造图纸?女头","fffff2df","1","1041","张","20","1","5500","true","0","0","0","0","0","1105","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350211","422","打造图纸?男衣","fffff2df","1","1038","张","20","1","5500","true","0","0","0","0","0","1112","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350212","422","打造图纸?女衣","fffff2df","1","1039","张","20","1","5500","true","0","0","0","0","0","1119","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350300","422","打造图纸?剑","fffff2df","1","1009","张","30","1","5500","true","0","0","0","0","0","1036","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350301","422","打造图纸?锤","fffff2df","1","1031","张","30","1","5500","true","0","0","0","0","0","1043","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350302","422","打造图纸?匕首","fffff2df","1","1009","张","30","1","5500","true","0","0","0","0","0","1050","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350303","422","打造图纸?爪","fffff2df","1","1034","张","30","1","5500","true","0","0","0","0","0","1057","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350304","422","打造图纸?魔棒","fffff2df","1","1035","张","30","1","5500","true","0","0","0","0","0","1064","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350305","422","打造图纸?法杖","fffff2df","1","1036","张","30","1","5500","true","0","0","0","0","0","1071","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350306","422","打造图纸?腰带","fffff2df","1","1042","张","30","1","5500","true","0","0","0","0","0","1078","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350307","422","打造图纸?鞋子","fffff2df","1","1044","张","30","1","5500","true","0","0","0","0","0","1085","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350308","422","打造图纸?项链","fffff2df","1","1043","张","30","1","5500","true","0","0","0","0","0","1092","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350309","422","打造图纸?男头","fffff2df","1","1040","张","30","1","5500","true","0","0","0","0","0","1099","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350310","422","打造图纸?女头","fffff2df","1","1041","张","30","1","5500","true","0","0","0","0","0","1106","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350311","422","打造图纸?男衣","fffff2df","1","1038","张","30","1","5500","true","0","0","0","0","0","1113","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350312","422","打造图纸?女衣","fffff2df","1","1039","张","30","1","5500","true","0","0","0","0","0","1120","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350400","422","打造图纸?剑","fffff2df","1","1009","张","40","1","5500","true","0","0","0","0","0","1037","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350401","422","打造图纸?锤","fffff2df","1","1031","张","40","1","5500","true","0","0","0","0","0","1044","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350402","422","打造图纸?匕首","fffff2df","1","1009","张","40","1","5500","true","0","0","0","0","0","1051","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350403","422","打造图纸?爪","fffff2df","1","1034","张","40","1","5500","true","0","0","0","0","0","1058","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350404","422","打造图纸?魔棒","fffff2df","1","1035","张","40","1","5500","true","0","0","0","0","0","1065","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350405","422","打造图纸?法杖","fffff2df","1","1036","张","40","1","5500","true","0","0","0","0","0","1072","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350406","422","打造图纸?腰带","fffff2df","1","1042","张","40","1","5500","true","0","0","0","0","0","1079","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350407","422","打造图纸?鞋子","fffff2df","1","1044","张","40","1","5500","true","0","0","0","0","0","1086","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350408","422","打造图纸?项链","fffff2df","1","1043","张","40","1","5500","true","0","0","0","0","0","1093","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350409","422","打造图纸?男头","fffff2df","1","1040","张","40","1","5500","true","0","0","0","0","0","1100","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350410","422","打造图纸?女头","fffff2df","1","1041","张","40","1","5500","true","0","0","0","0","0","1107","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350411","422","打造图纸?男衣","fffff2df","1","1038","张","40","1","5500","true","0","0","0","0","0","1114","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350412","422","打造图纸?女衣","fffff2df","1","1039","张","40","1","5500","true","0","0","0","0","0","1121","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350500","422","打造图纸?剑","fffff2df","1","1009","张","50","1","5500","true","0","0","0","0","0","1038","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350501","422","打造图纸?锤","fffff2df","1","1031","张","50","1","5500","true","0","0","0","0","0","1045","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350502","422","打造图纸?匕首","fffff2df","1","1009","张","50","1","5500","true","0","0","0","0","0","1052","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350503","422","打造图纸?爪","fffff2df","1","1034","张","50","1","5500","true","0","0","0","0","0","1059","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350504","422","打造图纸?魔棒","fffff2df","1","1035","张","50","1","5500","true","0","0","0","0","0","1066","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350505","422","打造图纸?法杖","fffff2df","1","1036","张","50","1","5500","true","0","0","0","0","0","1073","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350506","422","打造图纸?腰带","fffff2df","1","1042","张","50","1","5500","true","0","0","0","0","0","1080","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350507","422","打造图纸?鞋子","fffff2df","1","1044","张","50","1","5500","true","0","0","0","0","0","1087","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350508","422","打造图纸?项链","fffff2df","1","1043","张","50","1","5500","true","0","0","0","0","0","1094","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350509","422","打造图纸?男头","fffff2df","1","1040","张","50","1","5500","true","0","0","0","0","0","1101","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350510","422","打造图纸?女头","fffff2df","1","1041","张","50","1","5500","true","0","0","0","0","0","1108","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350511","422","打造图纸?男衣","fffff2df","1","1038","张","50","1","5500","true","0","0","0","0","0","1115","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350512","422","打造图纸?女衣","fffff2df","1","1039","张","50","1","5500","true","0","0","0","0","0","1122","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350600","422","打造图纸?剑","fffff2df","1","1009","张","60","1","5500","true","0","0","0","0","0","1039","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350601","422","打造图纸?锤","fffff2df","1","1031","张","60","1","5500","true","0","0","0","0","0","1046","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350602","422","打造图纸?匕首","fffff2df","1","1009","张","60","1","5500","true","0","0","0","0","0","1053","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350603","422","打造图纸?爪","fffff2df","1","1034","张","60","1","5500","true","0","0","0","0","0","1060","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350604","422","打造图纸?魔棒","fffff2df","1","1035","张","60","1","5500","true","0","0","0","0","0","1067","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350605","422","打造图纸?法杖","fffff2df","1","1036","张","60","1","5500","true","0","0","0","0","0","1074","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350606","422","打造图纸?腰带","fffff2df","1","1042","张","60","1","5500","true","0","0","0","0","0","1081","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350607","422","打造图纸?鞋子","fffff2df","1","1044","张","60","1","5500","true","0","0","0","0","0","1088","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350608","422","打造图纸?项链","fffff2df","1","1043","张","60","1","5500","true","0","0","0","0","0","1095","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350609","422","打造图纸?男头","fffff2df","1","1040","张","60","1","5500","true","0","0","0","0","0","1102","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350610","422","打造图纸?女头","fffff2df","1","1041","张","60","1","5500","true","0","0","0","0","0","1109","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350611","422","打造图纸?男衣","fffff2df","1","1038","张","60","1","5500","true","0","0","0","0","0","1116","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350612","422","打造图纸?女衣","fffff2df","1","1039","张","60","1","5500","true","0","0","0","0","0","1123","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350700","422","打造图纸?剑","fffff2df","1","1009","张","70","1","5500","true","0","0","0","0","0","1040","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350701","422","打造图纸?锤","fffff2df","1","1031","张","70","1","5500","true","0","0","0","0","0","1047","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350702","422","打造图纸?匕首","fffff2df","1","1009","张","70","1","5500","true","0","0","0","0","0","1054","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350703","422","打造图纸?爪","fffff2df","1","1034","张","70","1","5500","true","0","0","0","0","0","1061","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350704","422","打造图纸?魔棒","fffff2df","1","1035","张","70","1","5500","true","0","0","0","0","0","1068","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350705","422","打造图纸?法杖","fffff2df","1","1036","张","70","1","5500","true","0","0","0","0","0","1075","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350706","422","打造图纸?腰带","fffff2df","1","1042","张","70","1","5500","true","0","0","0","0","0","1082","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350707","422","打造图纸?鞋子","fffff2df","1","1044","张","70","1","5500","true","0","0","0","0","0","1089","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350708","422","打造图纸?项链","fffff2df","1","1043","张","70","1","5500","true","0","0","0","0","0","1096","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350709","422","打造图纸?男头","fffff2df","1","1040","张","70","1","5500","true","0","0","0","0","0","1103","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350710","422","打造图纸?女头","fffff2df","1","1041","张","70","1","5500","true","0","0","0","0","0","1110","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350711","422","打造图纸?男衣","fffff2df","1","1038","张","70","1","5500","true","0","0","0","0","0","1117","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1",,,,,,,,,,,
"350712","422","打造图纸?女衣","fffff2df","1","1039","张","70","1","5500","true","0","0","0","0","0","1124","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"1","",,,,,,,,,,
"350800","422","打造图纸?剑","fffff2df","1","1009","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350801","422","打造图纸?锤","fffff2df","1","1031","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350802","422","打造图纸?匕首","fffff2df","1","1009","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350803","422","打造图纸?爪","fffff2df","1","1034","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350804","422","打造图纸?魔棒","fffff2df","1","1035","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350805","422","打造图纸?法杖","fffff2df","1","1036","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350806","422","打造图纸?腰带","fffff2df","1","1042","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350807","422","打造图纸?鞋子","fffff2df","1","1044","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350808","422","打造图纸?项链","fffff2df","1","1043","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350809","422","打造图纸?男头","fffff2df","1","1040","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350810","422","打造图纸?女头","fffff2df","1","1041","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350811","422","打造图纸?男衣","fffff2df","1","1038","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350812","422","打造图纸?女衣","fffff2df","1","1039","张","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350900","422","打造图纸?剑","fffff2df","1","1009","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350901","422","打造图纸?锤","fffff2df","1","1031","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350902","422","打造图纸?匕首","fffff2df","1","1009","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350903","422","打造图纸?爪","fffff2df","1","1034","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350904","422","打造图纸?魔棒","fffff2df","1","1035","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350905","422","打造图纸?法杖","fffff2df","1","1036","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（武器类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350906","422","打造图纸?腰带","fffff2df","1","1042","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350907","422","打造图纸?鞋子","fffff2df","1","1044","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350908","422","打造图纸?项链","fffff2df","1","1043","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（饰品类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
"350909","422","打造图纸?男头","fffff2df","1","1040","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2",,,,,,,,,"1","1","1"
"350910","422","打造图纸?女头","fffff2df","1","1041","张","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","记录（防具类）打造方法的图纸，可以和精铁一起打造装备。",,"2","161506","使用方法：点击使用","3","6",,,"0",,,,,"2","",,,,,,,,"1","1","1"
